12 July 2001 FINAL A5-0263/2001	12 juillet 2001 FINAL A5-0263/2001
This also applies to antennae which receive signals from spy satellites.	Cela concerne aussi les antennes captant les signaux de satellites d'espionnage.
If a site houses two or more satellite antennae with a diameter of at least 18 m, one of its tasks is certainly that of intercepting civilian communications.	Si une installation présente au moins deux antennes pour satellites de plus de 18 m, il est certain que l'interception des communications civiles y est pratiquée.
In the case of a station housing US forces, one of the antennae may also be used to receive military communications.	S'agissant d'une station accueillant des militaires des États-Unis, une des antennes peut servir aux communications militaires.
Criterion 4: Evidence from official sources	Critère 4: Preuves officielles
Official descriptions of the tasks of some stations have been published.	Pour certaines stations, on dispose d'une description officielle précise des missions.
In that connection governments and military units are regarded as official sources.	Les sources sont considérées comme officielles s'il s'agit d'informations gouvernementales ou d'informations fournies par les militaires.
If this criterion has been met, the others become superfluous.	S'il est satisfait à ce critère, il n'est pas nécessaire d'examiner les autres pour classer une station parmi les stations d'interception de communications civiles.
Publicly accessible data about known interception stations	Données, pouvant être obtenues par chacun, concernant les stations d'interception connues
With a view to determining which stations meet the criteria set out in Chapter 5.2. and thus form part of the global interception system and establishing what tasks they have, the relevant, somewhat contradictory, literature (Hager Nicky Hager : Exposing the Global Surveillance System http://www.ncoic.com/echelon http://www.ncoic.com/echelon 1.htm	Afin de déterminer quelles stations répondent aux critères énoncés au point 5.2 et font partie du système d'interception mondial et de préciser de quelles missions elles sont chargées, la documentation afférente, parfois contradictoire (Hager Nicky Hager : Exposing the global surveillance system. http://www.ncoic.com/echelon1.htm
Nicky Hager : Secret Power.	Nicky Hager : Secret Power.
Richelson, T. Jeffrey, The U.S. Intelligence Community, Westview Press (1999). , Campbell Duncan Campbell , The state of the art in Communications Intelligence (COMINT) of automated processing for intelligence purposes of intercepted broadband multi-language leased or common carrier systems, and its applicability to COMINT targeting and selection, including speech recognition, Part 4/5, in STOA (Ed.).	Jeffrey T. Richelson , The U.S. Intelligence Community, Westview Press 1999. , Campbell Duncan Campbell , dans PE 168.184 (octobre 1999)
Development of Surveillance Technology and Risk of Abuse of Economic Information, (October 1999), PE 168.184 http://www.europarl.eu.int/dg4/stoa/en/publi/pdf/98-14-01-2en.pdf http://www.europarl.eu.int/dg4/stoa/en/publi/pdf/98-14-01-2en.pdf	http://www.europarl.eu.int/dg4/stoa/en/publi/pdf/98-14-01-2en.pdf http://www.europarl.eu.int/dg4/stoa/en/publi/pdf/98-14-01-2en.pdf
Duncan Campbell : Inside Echelon, 25.7.2000, http://www.heise.de/tp/deutsch/special/ech/6928/1.html http://www.heise.de/tp/deutsch/special/ech/6928/1.html	Duncan Campbell : Inside Echelon, 25.7.2000http://www.heise.de/tp/deutsch/special/ech/6928/1.html http://www.heise.de/tp/deutsch/special/ech/6928/1.html
Campbell, Duncan : Interception Capabilities Impact and Exploitation – Echelon and its role in COMINT, submitted to the Temporary Committee on 22 January 2001	Duncan Campbell : Interception Capabilities n- Impact and Exploitation – Echelon and its role in COMINT, présenté à la commission Echelon du Parlement européen le 22 janvier 2001
Federation of American Scientists, http://www.fas.org/irp/nsa/nsafacil.html http://www.fas.org/irp/nsa/nsafacil.htmlhttp://www.fas.org/irp/nsa/nsafacil.html http://www.fas.org/irp/nsa/nsafacil.html ) declassified documents Jeffrey T. Richelson : Newly released documents on the restrictions NSA places on reporting the identities of US persons: Declassified: http://www.gwu.edu/~nsarchiv/NSAEBB/NSAEBB23/index.html http://www.gwu.edu/~nsarchiv/NSAEBB/NSAEBB23/index.html , the homepage of the Federation of American Scientists Federation of American Scientists (FAS), http://www.fas.org/irp/nsa/nsafacil.html. and operators' homepages Military.com; *.mil-Homepages.	Federation of American Scientists, http://www.fas.org/irp/nsa/nsafacil.html http://www.fas.org/irp/nsa/nsafacil.html . ), les documents déclassés Jeffrey T. Richelson : Newly released documents on the restrictions NSA places on reporting the identities of US-persons: Declassified: http://www.gwu.edu/~nsarchiv/NSAEBB/NSAEBB23/index.html http://www.gwu.edu/~nsarchiv/NSAEBB/NSAEBB23/index.html . , la page d'accueil de la Federation of American Scientists Federation of American Scientists (FAS), http://www.fas.org/ . ainsi que les pages d'accueil de NSA, AIA, etc. et d'autres publications sur Internet ont été consultés Military.com; *.mil-Homepages. .
In addition, the footprints of telecommunications satellites were collated, the requisite antenna sizes were calculated and these footprints and antenna locations were entered, along with the locations of possible stations, on world maps.	En outre, les zones de couverture des satellites de communication ont été rassemblées, les dimensions des antennes nécessaires calculées et reportées sur des planisphères, de même que les stations possibles.
Detailed analysis	Analyse approfondie
The following principles relating to the physics of satellite communications apply in connection with the analysis (see also Chapter 4):	L'analyse tient compte des principes ci-après, qui sont liés à la physique de la communication par satellite (voir également chapitre 4):
- A satellite antenna can only record communications transmitted within the footprint in which it is located.	- Une antenne ne peut capter que ce qui se trouve dans la zone de couverture où elle est située.
In order to receive communications, which are mainly transmitted in the C-band and Ku-band, an antenna must lie within the footprints containing those bands.	Pour pouvoir recevoir des communications relevant principalement des bandes C et Ku, une antenne doit se trouver à l'intérieur de la zone de couverture couvrant les bandes C et Ku.
- A satellite antenna is required for each separate global beam, even if beams from two satellites overlap.	- Il faut une antenne pour chaque faisceau à couverture mondiale, même si les faisceaux de deux satellites se recoupent.
- If a satellite has other footprints in addition to the global beam, which is typical of today's generations of satellites, a single satellite antenna can no longer record all the communications transmitted via that satellite, since a single satellite antenna cannot be located in every one of the satellite's footprints.	- Si un satellite présente plus de zones de couverture que le faisceau mondial (c'est le cas de la génération de satellites actuelle), une seule antenne ne permet pas de capter toutes les communications transitant par ces satellites étant donné qu'une seule antenne ne peut se situer dans toutes les zones de couverture des satellites.
In order to capture a satellite's hemispheric beam and its global beam, therefore, two satellite antennae are required in different areas (see illustration of the footprints in Chapter 4).	Pour capter le faisceau à semi-couverture et le faisceau mondial d'un satellite, il faut donc deux antennes dans deux régions différentes (voir schéma des zones de couverture au chapitre 4).
If further beams (zone and spot beams) are involved, further satellite antennae are required.	Si d'autres faisceaux s'ajoutent à cela (zonaux et pinceaux), des antennes supplémentaires sont nécessaires.
In principle, different, overlapping beams from a single satellite can be captured by one satellite antenna, since it is technically feasible to separate different frequency bands when reception takes place, although this leads to a deterioration in the signal-noise ratio.	Les différents faisceaux d'un même satellite qui se recoupent peuvent en principe être captés par une seule antenne, car il est techniquement possible de séparer différentes bandes de fréquence à la réception, mais cela est à l'origine d'une dégradation du rapport signal/bruit.
The parallel between the development of INTELSAT and the building of stations	Le parallélisme entre le développement des INTELSAT et la construction de stations
A global interception system must grow as communications develop.	Tout système d'écoute global doit croître au rythme du progrès des communications.
Accordingly, the start of the satellite communications era must lead to the establishment of stations and the introduction of new generations of satellites must lead to the establishment of new stations and the building of new satellite antennae which can cope with the new technical requirements.	Le début des communications par satellite doit donc donner lieu à l'apparition des premières stations, et la mise en service de nouvelles générations de satellites à la construction de nouvelles stations et de nouvelles antennes satellitaires opérationnelles.
The number of stations and the number of satellite antennae must increase whenever this is necessary in order to cover the full volume of communications traffic.	Le nombre des stations et des antennes satellitaires doit augmenter chaque fois que l'interception des communications l'exige.
Since the INTELSAT satellites were the first telecommunications satellites, and, moreover, the first to cover the entire globe, it is only logical that the introduction of the new generations of INTELSAT satellites should go hand-in-hand with the establishment of new and bigger stations.	Étant donné que les satellites INTELSAT étaient les premiers satellites de communication et que, de plus, ils couvraient la planète tout entière, il est logique que la mise en place et l'agrandissement de stations suivent le développement des générations d'INTELSAT.
The first global generation	La première génération mondiale
As long ago as 1965 the first INTELSAT satellite (Early Bird) was placed in a geostationary orbit.	C'est dès 1965 que le premier satellite INTELSAT (Early Bird) fut mis en orbite géostationnaire.
Its transmission capacity was still low and its footprint covered only the northern hemisphere.	Il avait une capacité de transmission encore faible et ne couvrait que l'hémisphère nord.
When the second and third INTELSAT generations came into operation, in 1967 and 1968 respectively, global coverage was achieved for the first time.	Avec les générations INTELSAT II et III, mises en service respectivement en 1967 et en 1968, on obtint, pour la première fois, une couverture globale.
The satellites' global beams covered the Atlantic, Pacific and Indian Ocean areas.	Les g lobal beams des satellites couvraient les zones atlantique, pacifique et indienne.
Satellite systems with smaller footprints had not yet been introduced.	Il n'y avait pas encore de zones de couverture plus petites.
Three satellite antennae were thus needed in order to record all communications.	Pour capter la totalité des communications, il fallait donc trois satellites.
Since two of the global beams overlapped over the European continent, in that area the global footprints of two satellites could be covered by two satellite antennae trained in different directions.	Comme deux des g lobal beams se chevauchaient au-dessus de l'espace européen, il était possible, dans cette zone, grâce à une station munie de deux antennes satellitaires orientées différemment, de saisir les zones de couverture globales des deux satellites.
First generation of INTELSAT satellites providing global coverage	Première génération de satellites INTELSAT à couverture globale
In the early 1970s the Yakima station was established in the north-western USA and in 1972/73 the Morwenstow station was built in southern England.	Au début des années 1970, Yakima fut créée dans le nord-ouest des États-Unis; en 1972/1973, Morwenstow fut créée dans le sud de l'Angleterre.
At that time, Yakima had one large antenna (trained towards the Pacific) and Morwenstow had two large antennae (one trained towards the Atlantic, the other towards the Indian Ocean).	Yakima disposait alors d'une grande antenne (orientée vers le Pacifique); Morwenstow avait deux grandes antennes (l'une orientée vers l'Atlantique, l'autre vers l'océan Indien).
By virtue of the location of the two stations, all communications could be recorded.	La localisation des deux stations permettait de capter la totalité des communications.
The second global generation	La deuxième génération mondiale
The second generation of INTELSAT satellites (IV and IVA) were developed in the 1970s and placed in a geostationary orbit (1971 and 1975).	Les satellites INTELSAT de la deuxième génération (IV et IVA) furent développés dans les années 70 et mis en orbite géostationnaire (1971 et 1975).
The new satellites, which also provided global coverage and had a much larger number of communications channels (4000-6000), used, in addition to the global beams, zone beams in the northern hemisphere (see Chapter 4).	Les nouveaux satellites, qui assuraient aussi une couverture globale et disposaient de beaucoup plus de canaux radio (4000-6000), avaient aussi, outre les g lobal beams , des z one beams dans l'hémisphère nord (voir chapitre 4).
One zone beam covered the eastern USA, a second the western USA, a third western Europe and a fourth east Asia.	Un z one beam couvrait l'est des États-Unis, un autre l'ouest des États-Unis, un autre encore l'Europe occidentale et un dernier l'Asie de l'est.
As a result, it was no longer possible to record all communications using two stations equipped with three satellite antennae.	Dès lors, deux stations munies de trois antennes satellitaires ne permettaient plus de capter la totalité des communications.
Using the existing stations in Yakima, the zone beam in the western USA could be covered; Morwenstow covered the zone beam over Europe.	La station de Yakima couvrait le z one beam de "Ouest des États-Unis"; Morwenstow couvrait le z one beam " Europe".
A station in the eastern USA and another in east Asia were needed in order to cover the other two zone beams.	Pour couvrir les deux autres z one beams , il fallait disposer d'une station à l'est des États-Unis et d'une autre dans la région est-asiatique.
Second generation of INTELSAT satellites providing global coverage	Deuxième génération de satellites INTELSAT à couverture mondiale
In the late 1970s the Sugar Grove station in the eastern USA was developed (the station already existed for the purpose of intercepting Russian communications); it came into operation in 1980.	À la fin des années 70, Sugar Grove fut construite dans l'est des États-Unis (la station existait déjà pour écouter les communications russes); elle entra en service en 1980.
A station in Hong Kong was also set up in the late 1970s.	Toujours dans la fin des années 70, une station fut mise en place à Hong-Kong .
As a result, in the 1980s global interception of INTELSAT communications was possible using the four stations - Yakima, Morwenstow, Sugar Grove and Hong Kong.	Dès lors, dans les années 80, les quatre stations – Yakima, Morwenstow, Sugar Grove et Hong-Kong – permettaient l'écoute globale des communications INTELSAT.
The later INTELSAT satellites, which used zone beams and spot beams in addition to the global and hemispheric beams, made further stations in various parts of the world necessary.	Les satellites INTELSAT ultérieurs, avec z one beams et s pot beams en plus des g lobal beam et des hemi beams , nécessitèrent la mise en place de nouvelles stations dans différentes parties du monde.
Here, on the basis of the information available, it is difficult to document a link with the development of further stations and/or the introduction of new satellite antennae.	Arrivés à ce point, il est très difficile d'établir un lien entre la création de nouvelles stations et/ou l'installation de nouvelles antennes satellitaires sur la base des informations disponibles.
Since it is equally difficult to gain access to information about stations, it cannot be determined with any certainty which satellites using which beams are covered by which stations.	Comme, de plus, on a beaucoup de mal à obtenir des informations concernant les stations, il est impossible de savoir précisément quels satellites, avec quels beams , sont captés par quelle station.
However, the footprints in which known stations are located can be determined.	Toutefois, on peut déterminer dans quels beams se trouvent des stations connues.
Global coverage by means of stations which are known to intercept transmissions from telecommunications satellites	La couverture globale par stations qui écoutent manifestement des satellites de communication
Today, global satellite communications are provided by satellites operated by INTELSAT, INMARSAT and INTERSPUTNIK.	À l'heure actuelle, les communications globales par satellite sont assurées par des satellites INTELSAT, INMARSAT et INTERSPUTNIK.
The division of the earth into three footprints (Indian Ocean, Pacific and Atlantic areas), introduced when the first generations of satellites were sent into space, has been retained.	Comme dans le cas des premières générations de satellites, la répartition en trois zones de couverture (zones indienne, pacifique et atlantique) est maintenue.
In each of the footprints there are stations which meet the criteria which characterise them as interception stations:	Dans chacune des zones de couverture, on trouve des stations qui répondent aux critères caractéristiques des stations d'écoute.
Satellites over the Indian Ocean :	Satellites en orbite au-dessus de l'océan Indien
INTELSAT 604 (60°E), 602 (62°E), 804 (64°E), 704 (66°E)	INTELSAT 604 (60°E), 602 (62°E), 804 (64°E), 704 (66°E)
EXPRESS 6A (80°E)	EXPRESS 6A (80°E)
INMARSAT Indian Ocean area	INMARSAT zone indienne
Pine Gap, Australia	Pine Gap, Australie
Menwith Hill, England	Menwith Hill, Royaume-Uni
INTELSAT APR1 (83°), APR-2 (110,5°)	INTELSAT APR1 (83°), APR-2 (110,5°)
Pine Gap, Australia	Pine Gap, Australie
Satellites over the Pacific :	Satellites en orbite au-dessus du Pacifique
INTELSAT 802 (174°), 702 (176°), 701 (180°)	INTELSAT 802 (174°), 702 (176°), 701 (180°)
GORIZONT 41 (130°E), 42 (142°E), LM-1 (75°E)	GORIZONT 41 (130°E), 42 (142°E), LM-1 (75°E)
INMARSAT Pacific area	INMARSAT zone pacifique
Pine Gap, Australia	Pine Gap, Australie
Yakima, USA - only Intelsat and Inmarsat	Yakima, États-Unis: uniquement Intelsat et Inmarsat
Satellites over the Atlantic :	Satellites en orbite au-dessus de l'Atlantique
INTELSAT 805 (304,5°), 706 (307°), 709 (310°)	INTELSAT 805 (304,5°), 706 (307°), 709 (310°)
EXPRESS 2 (14°W), 3A (11°W)	EXPRESS 2 (14°W), 3A (11°W)
INMARSAT Atlantic area	INMARSAT zone atlantique
Sugar Grove, USA	Sugar Grove, États-Unis
Sabana Seca, Puerto Rico	Sabana Seca, Puerto Rico
Menwith Hill, England	Menwith Hill, Royaume-Uni
INTELSAT 707 (359°)	INTELSAT 707 (359°)
Menwith Hill, England	Menwith Hill, Royaume-Uni
This shows that the global interception of communications is feasible.	On voit donc qu'une écoute globale des communications est possible.
In addition, there are further stations which, although they do not meet the criterion of antenna size, and although there is no other clear evidence underpinning the assumption, may still form part of the global interception system.	En outre, il existe encore d'autres stations qui, si elles ne répondent certes pas au critère de dimension d'antennes et pour lesquelles on ne dispose pas d'autres éléments concluants, peuvent cependant faire partie du système d'écoute global.
These stations could be used to cover the zone or spot beams of satellites whose global beams are intercepted by other stations or for whose global beam no large satellite antennae are required.	Ces stations permettraient, par exemple, d'intercepter les z ones beams ou s pot beams de satellites dont les g lobal beams sont écoutés par d'autres stations ou pour les g lobal beams desquels il n'est pas nécessaire de disposer de grandes antennes satellitaires.
The stations in detail	Les stations: détails
In the detailed descriptions of the stations a distinction is drawn between stations which are clearly used to intercept transmissions from telecommunications satellites (criteria outlined in Chapter 5, 5.2.) and stations whose role cannot definitely be proven with the aid of those criteria.	Pour la description détaillée des stations, on distingue entre, d'une part, stations qui écoutent manifestement des satellites de communication (critères de la section 5.2) et, d'autre part, stations dont la mission ne peut être prouvée sur la base des critères susmentionnés.
Stations used to intercept transmissions from telecommunications satellites	Stations destinées à l'écoute de satellites de communication
The following stations meet the criteria outlined in Chapter 5.2., criteria which point to a role in intercepting transmissions from telecommunications satellites:	Les critères décrits à la section 5.2, qui peuvent être considérés comme indices de l'existence d'une station d'écoute de satellites de communication, sont aussi valables pour les stations suivantes:
The station was established in the 1970s, at the same time as the first generation of satellites were put into orbit.	La station a été créée dans les années 1970, en même temps que la première génération de satellites.
Six satellite antennae have been installed on the site; the sources give no clue as to the size of the antennae.	La station compte six antennes satellitaires, dont les sources ne permettent pas de connaître la dimension.
Hager describes the antennae as large and claims that they are trained on INTELSAT satellites over the Pacific (two satellite antennae) and INTELSAT satellites over the Atlantic, and on INMARSAT Satellite 2.	Selon Hager, ce sont des antennes satellitaires de grande dimension et elles sont orientées sur des satellites Intelsat en orbite au-dessus du Pacifique (deux antennes satellitaires) et sur des satellites Intelsat en orbite au-dessus de l'Atlantique; des antennes sont orientées sur les satellites Inmarsat 2.
The fact that Yakima was established at the same time as the first generation of INTELSAT satellites went into orbit, and the general description of the tasks of the 544 th Intelligence Group, suggest that the station has a role in global communications surveillance.	Le fait que Yakima a été créée en même temps que la première génération de satellites Intelsat, d'une part, et la description générale des missions du 544 th Intelligence Group, d'autre part, donnent à penser que Yakima joue un rôle dans la surveillance globale des communications.
A further clue is provided by Yakima's proximity to a normal satellite receiving station, which lies 100 miles to the north.	Autre indice: Yakima est proche d'une station de réception de satellites normale, située à 100 miles au nord.
Sugar Grove, USA (80°W, 39°N)	Sugar Grove, États-Unis (80°O, 39°N)
Sugar Grove was established at the same time as the second generation of INTELSAT satellites came into operation, in the late 1970s.	Sugar Grove a été créée en même temps qu'était mise en service la deuxième génération de satellites Intelsat, à la fin des années 70.
The NAVSECGRU and the AIA, 544 th Intelligence Group (Detachment 3), are stationed at Sugar Grove.	Y sont stationnés le NAVSECGRU ainsi que l'AIA, avec le 544 th Intelligence Group (Detachment 3).
According to information provided by a variety of authors, the station has 10 satellite antennae, three of which have a diameter greater than 18 m (18.2 m, 32.3 m and 46 m) and which are thus clearly used to intercept transmissions from telecommunications satellites.	Selon plusieurs auteurs, la station compte dix antennes satellitaires, dont trois ont plus de 18 mètres (18,2 mètres, 32,3 mètres et 46 mètres) et conviennent donc clairement pour écouter des satellites de communication.
One of the tasks performed at the station by Detachment 3 of the 544 IG is to provide intelligence support for the collection by Navy field stations of information transmitted by telecommunications satellites 'It provides enhanced intelligence support to Air Force operational commanders and other consumers of communications satellite information collected by Navy-commanded field stations', from the home page of the 544th Intelligence Group http://www.aia.af.mil http://www.aia.af.mil .	À la station, une des missions du Detachment 3 du 544 IG est de fournir un "intelligence support" pour la collecte, par les stations de la Navy, d'informations provenant de satellites de communication „It provides enhanced intelligence support to Air Force operational commanders and other consumers of communications satellite information collected by Navy-commanded field stations.“ aus der Homepage der (44th Intelligence Group http://www.aia.af.mil http://www.aia.af.mil . .
In addition, Sugar Grove is situated close (60 miles) to the normal satellite receiving station in Etam.	De plus, Sugar Grove est située à proximité (60 miles) de la station de réception de satellites normale d'Etam.
Sabana Seca, Puerto Rico (66°W, 18°N)	Sabana Seca, Puerto Rico (66°O, 18°N)
NAVSECGRU was first stationed in Sabana Seca in 1952.	En 1952, le NAVSECGRU fut stationné à Sabana Seca.
In 1995, it was joined by the AIA, 544 th IG (Detachment 2).	Depuis 1995, s'y trouve aussi la AIA, avec le 544 th IG (Detachment 2).
The station has at least one satellite antenna with a diameter of 32 m and four further small satellite antennae.	La station compte au moins une antenne satellitaire d'un diamètre de 32 mètres et quatre autres antennes satellitaires de petite dimension.
According to official information, the station's tasks are to perform 'satellite communication processing', to provide 'cryptologic and communications service' and to support Navy and DoD operations, including the collection of COMSAT information (from a description of the 544 th IG).	Officiellement, les missions de la station sont: traitement des communications par satellite ("performing satellite communication processing"), "cryptologic and communications service" et appui à des missions de la Navy et du DoD (notamment, collecte d'informations COMSAT (d'après le 544 th IG)).
In future, Sabana Seca is set to become the first field station for the analysis and processing of satellite communications.	À l'avenir, Sabana Seca doit devenir la première station d'analyse et de traitement de communications par satellite.
Like Yakima, Morwenstow was established in the early 1970s, at the same time as the first generation of INTELSAT satellites went into space.	Tout comme Yakima, Morwenstow a été créée en même temps que la première génération de satelllites Intelsat, au début des années 70.
Morwenstow is operated by the British Intelligence Service (GCHQ).	Morwenstow est desservie par le service de renseignements britannique (GCHQ).
The Morwenstow site houses some 21 satellite antennae, three of which have a diameter of 30 m; no details are available of the size of the other antennae.	Morwenstow compte environ 21 antennes satellitaires, dont trois d'un diamètre de 30 mètres; on ne dispose pas de données concernant la dimension des autres antennes.
Menwith Hill, England (2°W, 53°N)	Menwith Hill, Royaume-Uni (2°O, 53°N)
Menwith Hill was established in 1956 and by 1974 already housed eight satellite antennae.	Menwith Hill a été créée en 1956.
Today, the figure is roughly 30, some 12 of which have a diameter of more than 20 m.	En 1974, la station comptait déjà 8 antennes satellitaires.
At least one of the large antennae, although certainly not all, is a receiving antenna for military communications (AN/FSC-78).	Au moins une des grandes antennes, mais certainement pas l'ensemble de celles-ci, est une antenne de réception de communications militaires (AN/FSC-78).
The British and Americans work together at Menwith Hill.	A Menwith Hill, Britanniques et Américains coopèrent.
The US services stationed there are NAVSECGRU, the AIA (451 st IOS) and INSCOM, which has command of the station.	Pour les Américains, y sont stationnés le NAVSECGRU, la AIA (451 st IOS) ainsi que l'INSCOM, qui a le commandement de la station.
The land on which Menwith Hill stands belongs to the UK Defence Ministry and is rented to the US Administration.	Le site de Menwith Hill appartient au ministère britannique de la Défense et est loué au gouvernement américain.
According to official information, Menwith Hill's role is 'to provide rapid radio relay and to conduct communications research'.	Officiellement, la mission de Menwith Hill est: "to provide rapid radio relay and to conduct communications research".
According to statement by Richelson and the Federation of American Scientists, Menwith Hill is both an earth station for spy satellites and an interception station for transmissions from Russian telecommunications satellites.	Selon Richelson et la Fédération des scientifiques américains, Menwith Hill est à la fois une station terrestre pour satellites d'espionnage et une station d'interception pour satellites de communications russes.
The station was established in the early 1990s.	La station existe depuis le début des années 90.
It is run by the Australian Secret Service (DSD), and it is partly manned by British servicemen previously stationed in Hong Kong (see above).	Elle est dirigée par les services secrets australiens (DSD); des Britanniques, précédemment stationnés à Hong Kong (voir plus haut), font à présent partie du personnel de la station.
According to Hager, four satellite antennae, of the same size (diameter of roughly 20 m) are trained on satellites above the Indian Ocean and the Pacific.	Selon Hager, quatre antennes satellitaires, de même diamètre (quelque 20 m), sont orientées vers des satellites en orbite au-dessus de l'océan Indien et vers des satellites en orbite au-dessus du Pacifique.
According to statements made under oath in the Australian Parliament by an expert, transmissions from civilian telecommunications satellites are intercepted at Geraldton Proof Committee Hansard, Joint Standing Committee on Treaties, Reference: Pine Gap, 9 August 1999, Canberra; http://www.aph.gov.au/hansard .	Selon des experts entendus sous serment au Parlement australien, Geraldton écoute des satellites de communication civils Proof Committee Hansard, Joint Standing Committee on Treaties, Reference: Pine Gap, 9 August 1999, Canberra, http://www.aph.gov.au/hansard. .
Pine Gap, Australia (133°O, 23°S)	Pine Gap, Australie (133°O, 23°S)
The station in Pine Gap was established in 1966.	La station de Pine Gap a été créée en 1966.
It is run by the Australian Secret Service (DSD), and roughly half of the 900 station personnel are Americans from the CIA and NAVSECGRU Proof Committee Hansard, Joint Standing Committee on Treaties, Reference: Pine Gap, 9 August 1999, Canberra; http://www.aph.gov.au/hansard .	Elle est dirigée par les services secrets australiens (DSD); à peu près la moitié des quelque 900 personnes qui y sont stationnées sont des Américains de la CIA et du NAVSECGRU Proof Committee Hansard, Joint Standing Committee on Treaties, Reference: Pine Gap, 9 August 1999, Canberra, http://www.aph.gov.au/hansard. .
Pine Gap has 18 satellite antennae, one with a diameter of roughly 30 m and another with a diameter of roughly 20 m.	Pine Gap compte 18 antennes satellitaires, dont une d'un diamètre d'environ 30 mètres et une d'un diamètre d'environ 20 mètres.
According to official sources, and information provided by various authors, since its inception Pine Gap has been an earth station for SIGINT satellites.	Selon des sources officielles et différents auteurs, cette station est, depuis le début, une station terrestre pour satellites SIGINT.
Station personnel control and guide various spy satellites and receive, process and analyse their signals.	La station contrôle et commande plusieurs satellites d'espionnage, dont elle capte, traite et analyse les signaux.
The large satellite antennae also suggest that transmissions from telecommunications satellites are intercepted, since no such antennae are required for work with SIGINT satellites.	Toutefois, la présence des grandes antennes satellitaires donne à penser que la station écoute aussi des satellites de communication, car les satellites SIGINT ne nécessitent pas des antennes satellitaires de grande dimension.
The station in Misawa was established in 1948 as the site for an HFDF antenna.	La station de Misawa est dotée depuis 1948 d'une antenne HFDF.
It is manned by Japanese and Americans.	Y sont stationnés des Japonais et des Américains.
The US services represented are NAVSECGRU, INSCOM and some AIA groups (544 th IG, 301 st IS).	Pour les États-Unis, il y a le NAVSECGRU, l'INSCOM ainsi que certains groupes de la AIA (544 th IG, 301 st IS).
Officially, Misawa acts as a 'cryptology operations centre'.	Officiellement, Misawa est un "Cryptology Operations Center".
According to information supplied by Richelson, the station is used to intercept transmissions from the Russian Molnyia satellites and other Russian telecommunications satellites.	Selon Richelson, Misawa permet d'écouter les satellites russes Molnyia ainsi que d'autres satellites de communication russes.
Waihopai, New Zealand (173°O, 41°S) Domestic and External Security Secretariat, Department of the Prime Minister and Cabinet 'Securing our Nation's Safety', December 2000, http://www.dpmc.govt.nz/dess/securingoursafety/index.html	Waihopai, Nouvelle-Zélande (173°O, 41°S) Domestic and External Security Secretariat, Department of the Prime Minister and Cabinet "Securing our Nation's Safety", décembre 2000, http://www.dpmc.gov.nz/dess/securingoursafety/index.html.
Waihopai was established in 1989.	Waihopai existe depuis 1989.
It started with one large antenna, with a diameter of 18 m, and two smaller antennae were added later.	Depuis, on y trouve une grande antenne d'un diamètre de 18 mètres; par la suite, on a ajouté une deuxième antenne.
According to Hager, the antennae are trained on INTELSAT 701 in orbit above the Pacific.	Selon Hager, les antennes sont orientées sur des Intelsat 701 en orbite au-dessus du Pacifique.
Official information released by the GCSB (General Communications Security Bureau) Waihopai's task is to intercept transmissions from communications satellites and to decrypt and process the signals.	La mission de Waihopai consiste d'après les indications officielles du GCSB (General Communications Security Bureau) à intercepter les communications par satellite, à décrypter et à traiter les signaux.
Domestic and External Security Secretariat, Department of the Prime Minister and Cabinet: 'Securing our Nations Safety', December 2000, http://www.dpmc.govt.nz/dess/securingoursafety/index.html http://www.dpmc.govt.nz/dess/securingoursafety/index.html: 'In 1989, [...] the GCSB opened its satellite communications interception station at Waihopai, near Blenheim. [...]	Domestic and External Security Secretariat, Department of the Prime Minister and Cabinet "Securing our Nation's Safety", décembre 2000, http://www.dpmc.gov.nz/dess/securingoursafety/index.html: "In 1989,[...] the GCBS opened its satellite communications interception station at Waihopai, near Blenheim. [...]
The signals intelligence is obtained from a variety of foreign communications and other non-communications signals, such as radar.	The signals intelligence is obtained from a variety of foreign communications and other non-communications signals, such as radar.
The GCSB not only intercepts the signals, it also processes, decrypts or decodes and/or translates the information the signals contain before passing it on as a report to the appropriate Minister or government department.'	The GCBS not only intercepts the signals, it also processes, decrypts or decodes and/or translates the information the signals contain before passing it on to the appropriate Minister or government department.".
Since the station has only two satellite antennae, the New Zealand secret service can intercept only a small proportion of communications in the Pacific region.	Étant donné que la station ne dispose que de deux antennes pour satellites, le service secret néozélandais ne peut intercepter qu'une petite partie des communications dans l'espace pacifique.
To serve any purpose, therefore, the station must work jointly with other stations in the region.	La station n'est intéressante qu'en liaison avec une autre station de la même zone.
Hager often names Geraldton in Australia as Waihopai's 'sister station'.	Hager cite généralement Geraldton, en Australie, comme "station soeur" de Waihopai.
Hong Kong (22°N, 114°O)	Hong Kong (22°N, 114°O)
The station was established in the late 1970s, at the same time as the second generation of INTELSAT satellites were put in space, and was equipped with large satellite antennae.	Créée à la fin des années 70, en même temps que la deuxième génération d'Intelsat, la station était équipée de grandes antennes satellitaires.
No details are available of the exact sizes.	On ne dispose pas de données concernant les dimensions précises.
In 1994, a start was made on the decommissioning of the station; the antennae were taken to Australia.	En 1994, on a entamé le démantèlement de la station de Hong Kong.
Further stations	Autres stations
The roles of the following stations cannot be clearly established on the basis of the criteria referred to above:	S'agissant des stations ci-dessous, les critères susmentionnés ne permettent pas d'en déterminer clairement la fonction:
